ASDAGE,ACBG09,ACBG15,ACBG16,ACDGTIHY,ATBG01,ATBR01A,ATBR02B,ATDGLIHY,ATDGRIHY,ASRIBM,ASBG04,ASBG09B,ASBG09D,ASBG09E,ASBG09F,ASBG10A,ASBG10B,ASBG10C,ASBG10E,ASBR01A,ASBR01B,ASBR01C,ASBR01D,ASBR01E,ASBR01F,ASBR01G,ASBR01I,ASBR02B,ASBR03A,ASBR03B,ASBR03C,ASBR05,ASBR06A,ASBR06B,ASBR07A,ASBR07B,ASBR07C,ASBR07D,ASBR07E,ASBR07F,ASBR07G,ASBR07H,ASBR08A,ASBR08B,ASBR08C,ASBR08D,ASBR08E,ASBR08F,ASDGSEC,ASDGSSB,ASDGERL,ASDGSLR,ASDGSCR,ASBH01A,ASBH01B,ASBH01C,ASBH01D,ASBH01E,ASBH01F,ASBH01G,ASBH01H,ASBH01I,ASBH01J,ASBH01K,ASBH01L,ASBH01M,ASBH01N,ASBH01O,ASBH01P,ASBH01Q,ASBH01R,ASBH07A,ASBH07B,ASBH07C,ASBH07D,ASBH07E,ASBH07G,ASBH08E,ASBH11F,ASBH11G,ASBH12,ASBH13,ASBH15B,ASBH17A,ASBH17B,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHEDUP,ASDHOCCP,ACBG03A,ACBG03B,ACBG05B,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AE,ACBG10AF,ACBG10AG,ACBG10AH,ACBG10AI,ACBG10BB,ACBG10BC,ACBG10BD,ACBG11A,ACBG11C,ACBG11D,ACBG11F,ACBG11G,ACBG11J,ACBG11K,ACBG11L,ACBG12C,ACBG13,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG18B,ACBG19,ACDGEAS,ACDGSBC,ATBG05AD,ATBG05BB,ATBG05BE,ATBG05BF,ATBG05BH,ATBG06,ATBG07BB,ATBG07AD,ATBG07BD,ATBG07AF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08C,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10J,ATBG10K,ATBG10L,ATBG11B,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11H,ATBG11I,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBR03A,ATBR03E,ATBR03F,ATBR03G,ATBR03H,ATBR06A,ATBR06C,ATBR06E,ATBR07AA,ATBR07AB,ATBR07BA,ATBR07BB,ATBR07BC,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08H,ATBR09D,ATBR09F,ATBR09G,ATBR09H,ATBR10A,ATBR10H,ATBR10I,ATBR10J,ATBR10L,ATBR11A,ATBR11B,ATBR11E,ATBR12A,ATBR12BC,ATBR12C,ATBR12DC,ATBR12EA,ATBR12ED,ATBR13B,ATBR13C,ATBR13D,ATBR14,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI,cluster,cluster_pred
10.25,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,3,1,1,1,2,1,2,2,3,3,2,1,2,4,2,2,2,4,3,4,1,4,4,3,3,1,4,3,3,4,3,2,2,3,2,1,1,1,2,2,3,3,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,3,3,3,6,2,2,2,1,1,1,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,3,3,4,3,4,3,4,3,3,3,2,2,3,4,2,3,2,2,2,4,2,3,4,3,2,2,3,3,1,2,3,3,2,4,2,4,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,3,3,3,4,5,5,3,11,2,1,2,2,2,1,3,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
9.92,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,2,2,3,3,3,3,1,1,1,1,2,3,2,1,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,2,2,5,5,6,10,12,1,1,2,2,2,3,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,1,1,2,2,2,3,2,1,4,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,2,1,1,1,2,1,2,3,3,2,2,2,2,2,1,2,3,2,3,2,1,2,1,2,1,3,1,1,3,5,5,10,11,1,1,2,2,2,1,2,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
9.92,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,5,3,4,4,2,1,1,1,1,1,3,3,4,3,3,4,4,2,1,3,3,4,3,4,4,4,3,3,3,3,2,4,4,2,1,3,3,4,4,2,1,3,3,1,1,1,1,2,1,2,3,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,2,3,2,2,2,1,2,1,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,2,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,2,3,1,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,3,2,2,2,1,2,1,2,1,2,2,2,6,11,2,2,2,1,2,1,2,2,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.08,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,4,3,1,1,1,3,2,2,2,1,1,1,1,1,1,2,1,2,2,2,3,2,2,3,1,2,4,2,1,3,1,2,1,1,4,4,4,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,4,3,2,2,2,1,1,1,1,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,3,3
9.58,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,4,4,4,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,1,3,2,2,1,1,2,2,2,3,2,3,4,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,4,4,5,10,3,2,1,2,2,2,2,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.08,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,2,2,1,1,1,4,3,4,3,2,3,2,2,3,4,4,3,3,2,2,4,3,1,2,4,1,3,4,1,2,4,4,2,2,3,3,4,4,1,3,3,3,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,3,2,1,1,2,2,2,3,3,3,3,1,6,10,7,2,2,2,1,1,2,2,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
9.75,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,4,3,4,2,2,1,2,2,2,2,2,2,2,3,3,1,1,2,2,4,1,2,2,4,2,3,2,2,1,3,2,2,2,1,2,2,4,3,2,2,2,3,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,3,3,3,4,6,3,10,2,1,2,2,2,2,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,1,1,1,1,2,1,2,2,4,4,4,4,4,4,4,4,1,2,1,2,4,1,1,4,4,1,4,4,4,4,4,1,1,3,4,4,4,1,2,3,3,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,4,10,4,1,2,2,1,1,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
9.83,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,2,3,4,4,1,2,1,3,2,3,2,4,2,4,4,2,1,3,2,2,4,1,2,3,3,3,2,2,1,1,2,3,4,2,1,2,1,1,2,2,3,2,3,2,2,2,2,1,2,2,1,1,2,2,1,1,1,3,1,1,3,2,2,2,2,2,2,2,3,2,1,2,5,3,6,2,2,2,2,2,2,2,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.0,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,5,4,4,3,3,1,2,1,1,1,1,2,2,1,3,3,2,1,2,3,2,2,2,1,2,4,2,4,1,2,3,4,2,1,2,4,4,2,4,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,3,1,1,1,1,2,1,1,2,1,5,5,6,4,11,2,1,2,2,2,1,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
11.0,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,5,2,1,1,2,1,2,1,1,2,1,2,1,1,3,4,1,2,1,1,1,3,4,1,2,1,1,4,1,1,1,2,2,1,1,3,4,4,4,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,3,1,1,2,1,1,1,2,2,2,2,2,6,11,4,2,2,2,2,2,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,0,0
9.83,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,4,4,3,2,4,4,4,3,4,4,3,2,3,3,3,3,1,4,4,4,1,4,4,4,3,1,4,4,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,3,6,3,4,2,2,2,2,2,2,1,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.25,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,3,3,2,1,2,1,2,2,2,1,2,3,2,3,2,1,1,2,2,3,3,2,1,2,2,3,2,2,3,1,2,3,2,1,2,3,1,2,2,2,2,3,2,2,1,3,1,2,3,2,3,3,3,2,1,2,2,2,2,3,1,1,2,2,1,1,2,1,2,1,4,6,10,10,1,2,2,2,2,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.08,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,2,2,2,1,4,2,3,2,2,2,2,2,2,1,1,1,2,1,1,3,2,1,2,2,2,4,2,1,2,3,1,3,2,2,3,3,3,1,3,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,3,2,1,1,1,2,2,2,2,2,2,2,3,6,3,11,2,2,2,2,2,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
9.83,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,5,1,4,1,1,1,1,2,2,3,1,4,1,1,2,3,2,2,3,3,3,4,1,3,4,1,3,3,2,2,4,3,4,3,3,4,3,1,2,1,2,2,3,3,2,2,3,1,2,3,3,3,3,1,1,3,2,2,1,2,3,3,1,2,2,3,3,1,2,2,4,2,2,2,3,4,2,2,2,2,2,2,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,5,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,1,1,1,1,4,1,1,1,1,1,2,2,4,4,4,3,3,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,5,4,4,1,2,2,2,1,1,1,3,2,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,0,0
9.67,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,3,1,1,1,2,1,1,2,3,2,2,2,3,1,1,3,1,2,2,4,2,1,1,2,3,4,3,2,2,2,1,2,1,2,3,3,4,2,2,2,2,2,1,1,2,2,1,2,2,3,1,2,2,1,1,1,1,3,1,2,2,1,1,2,3,2,2,1,1,5,5,4,10,10,1,1,2,2,2,2,3,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,4,4
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,3,3,3,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,3,5,8,2,10,1,1,1,1,1,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,3,3
10.33,100.0,1.0,1.0,855.0,26.0,28.0,1.0,152.0,152.0,4,3,2,3,1,2,2,1,2,2,1,3,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,3,2,2,2,3,1,1,2,3,3,4,4,2,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,3,5,8,2,10,1,1,1,1,1,1,1,1,2,3,3,1,3,4,3,4,3,3,1,2,2,2,2,3,2,3,4,3,3,3,1,3,1,1,2,2,2,5,3,3,5,4,2,5,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,3,4,4,4,4,2,2,1,1,1,2,3,2,2,2,2,1,4,1,2,2,2,1,4,2,2,4,3,4,4,2,4,2,2,2,1,2,1,2,1,2,2,3,2,2,1,3,3
10.17,200.0,3.0000000000000004,3.0,997.5000000000001,29.000000000000004,29.0,0.0,221.66667,22.16667,4,1,1,2,2,2,2,1,1,1,2,1,1,1,1,3,1,1,3,3,3,4,1,3,2,1,3,3,3,2,1,2,1,3,2,2,2,2,1,1,1,1,2,3,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,3,3,3,3,4,2,2,2,1,1,1,4,2,3,3,3,2,3,3,4,3,3,3,1,3,3,3,2,3,3,3,3,3,3,2,2,3,1,1,2,3,3,4,2,4,5,5,2,5,3,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,2,2,3,2,3,2,1,2,1,2,2,3,2,3,4,3,4,3,2,1,3,1,1,3,3,3,3,3,3,2,3,2,4,4,2,2,4,2,2,4,3,4,4,4,2,1,3,2,2,2,2,1,2,2,3,2,1,2,1,3,3
10.25,200.0,3.0000000000000004,3.0,997.5000000000001,29.000000000000004,29.0,0.0,221.66667,22.16667,4,2,1,1,1,3,1,1,1,2,1,2,1,2,3,1,2,1,2,2,3,3,1,3,4,1,1,4,1,1,1,2,2,2,3,4,2,2,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,3,3,4,3,2,2,2,2,2,2,2,3,2,3,3,3,2,3,3,4,3,3,3,1,3,3,3,2,3,3,3,3,3,3,2,2,3,1,1,2,3,3,4,2,4,5,5,2,5,3,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,2,2,3,2,3,2,1,2,1,2,2,3,2,3,4,3,4,3,2,1,3,1,1,3,3,3,3,3,3,2,3,2,4,4,2,2,4,2,2,4,3,4,4,4,2,1,3,2,2,2,2,1,2,2,3,2,1,2,1,5,5
10.33,200.0,3.0000000000000004,3.0,997.5000000000001,29.000000000000004,29.0,0.0,221.66667,22.16667,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,2,1,4,4,4,4,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,4,4,2,4,2,2,1,1,1,1,3,2,3,3,3,2,3,3,4,3,3,3,1,3,3,3,2,3,3,3,3,3,3,2,2,3,1,1,2,3,3,4,2,4,5,5,2,5,3,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,2,2,3,2,3,2,1,2,1,2,2,3,2,3,4,3,4,3,2,1,3,1,1,3,3,3,3,3,3,2,3,2,4,4,2,2,4,2,2,4,3,4,4,4,2,1,3,2,2,2,2,1,2,2,3,2,1,2,1,3,3
